name	date
ramos-vinolas-sao-paulo-2017-final	2017-03-05 22:50:00
sao-paulo-2017-doubles-final-sa-dutra-silva	2017-03-05 19:29:00
querrey-acapulco-2017-trophy	2017-03-05 06:08:00
soares-murray-acapulco-2017-doubles-final	2017-03-05 02:48:00
cuevas-sao-paulo-2017-saturday	2017-03-04 21:54:00
dubai-2017-doubles-final-rojer-tecau2	2017-03-04 18:23:00
dubai-2017-final-murray2	2017-03-04 17:41:00
nadal-acapulco-2017-friday	2017-03-04 01:47:00
cuevas-sao-paulo-2017-friday	2017-03-04 04:07:00
kyrgios-acapulco-2017-thursday3	2017-03-03 10:11:00
nadal-acapulco-2017-thursday	2017-03-03 00:46:00
cuevas-2017-sao-paulo-thursday	2017-03-02 23:07:00
djokovic-acapulco-2017-wednesday	2017-03-02 06:59:00
nadal-acapulco-2017-wednesday2	2017-03-02 05:48:00
ramos-vinolas-sao-paulo-2017-wednesday	2017-03-02 04:24:00
donskoy-dubai-2017-wednesday	2017-03-01 19:12:00
murray-dubai-2017-wednesday	2017-03-01 16:34:00
verdasco-dubai-2017-wednesday	2017-03-01 13:25:00
del-potro-acapulco-2017-tuesday	2017-03-01 07:19:00
nadal-acapulco-2017-tuesday	2017-03-01 03:28:00
djokovic-acapulco-2017-tuesday	2017-03-01 01:20:00
fognini-sao-paulo-2017-tuesday	2017-02-28 21:58:00
murray-dubai-2017-tuesday	2017-02-28 17:55:00
dzumhur-dubai-2017-tuesday2	2017-02-28 12:43:00
goffin-acapulco-2017-monday	2017-02-28 02:41:00
djokovic-acapulco-2017-preview	2017-02-28 00:58:00
olivo-sao-paulo-2017-monday	2017-02-27 21:45:00
federer-dubai-2017-monday	2017-02-27 16:28:00
federer-preview3-dubai-2017-sunday	2017-02-27 13:40:00
tsonga-emirates-atp-rankings-27-february-2017	2017-02-27 09:53:00
novak-acapulco-scouting-2017	2017-02-27 03:21:00
acapulco-2017-nadal-preview	2017-02-26 23:46:00
rio-2017-final-thiem2	2017-02-26 22:58:00
klaasen-ram-delray-beach-2017-doubles-final	2017-02-26 21:05:00
dubai-2017-federer-preview	2017-02-26 20:56:00
sock-delray-beach-2017-sunday-trophy	2017-02-27 01:45:00
mahut-benneteau-marseille-2017-doubles-trophy	2017-02-26 19:56:00
murray-dubai-2017-preview	2017-02-26 18:00:00
tsonga-marseille-2017-trophy	2017-02-26 16:13:00
rio-2017-doubles-cuevas-carreno-busta	2017-02-26 03:39:00
raonic-delray-beach-2017-saturday	2017-02-26 03:29:00
rio-2017-saturday-carreno-busta	2017-02-26 00:27:00
federer-wawrinka-dubai-2017-practice	2017-02-25 15:47:00
tsonga-marseille-2017-saturday-sf2	2017-02-25 16:32:00
del-potro-delray-beach-2017-friday	2017-02-25 03:59:00
raonic-delray-beach-2017-friday	2017-02-25 01:28:00
thiem-rio-2017-friday	2017-02-24 21:55:00
kyrgios-marseille-2017-friday	2017-02-24 15:03:00
federer-murray-beach-tennis1-dubai-2017	2017-02-24 13:48:00
delpo-delray-beach-2017-thursday	2017-02-24 04:25:00
carreno-busta-rio-2017-thursday	2017-02-23 22:57:00
tsonga-marseille-2017-thursday	2017-02-23 21:24:00
querrey-delray-beach-2017-thursday	2017-02-23 19:22:00
medvedev-marseille-2017-thursday	2017-02-23 16:00:00
raonic-delray-beach-2017-wednesday	2017-02-23 06:00:00
medvedev-marseille-2017-wednesday	2017-02-22 18:34:00
del-potro-delray-beach-2017-tuesday	2017-02-22 03:15:00
mahut-marseille-2017-tuesday3	2017-02-22 08:00:00
del-potro-anderson-delray-beach-2017-combined	2017-02-21 18:31:00
basilashvili-delray-beach-2017-preview	2017-02-21 04:59:00
haas-delray-beach-2017-fans-practice	2017-02-21 01:59:00
de-greef-rio-2017-monday-2	2017-02-21 05:11:00
fritz-delray-beach-2017-monday-v2	2017-02-21 04:04:00
harrison-emirates-rankings-20-february-2017	2017-02-20 10:58:00
del-potro-delray-beach-2017-practice	2017-02-20 03:15:00
raonic-delray-beach-2017-practice	2017-02-19 23:54:00
memphis-2017-final-harrison2	2017-02-19 23:24:00
dolgopolov-buenos-aires-2017-final	2017-02-19 19:17:00
rotterdam-2017-final-tsonga2	2017-02-19 17:35:00
harrison-memphis-2017-saturday	2017-02-19 03:30:00
tsonga400_1920x1080	2017-02-18 15:31:00
buenos-aires-2017-saturday-dolgopolov	2017-02-18 19:16:00
nishikori-buenos-aires-2017-friday	2017-02-17 23:16:00
young-memphis-2017-friday	2017-02-18 04:35:00
tsonga-rotterdam-2017-friday2	2017-02-17 15:46:00
johnson-memphis-2017-thursday	2017-02-17 03:20:00
